metric,benchmark,spearman_r,spearman_p,pearson_r,pearson_p,partial_r,partial_p,n,bonferroni_alpha,spearman_sig,pearson_sig,partial_sig
fertility_avg,MMLU_PRO,-0.379,0.081965,-0.4169,0.053604,-0.2574,0.260024,22,0.000649,False,False,False
cpt,MMLU_PRO,0.3547,0.105335,0.1431,0.525109,0.1725,0.454514,22,0.000649,False,False,False
compression_ratio,MMLU_PRO,0.3547,0.105335,0.1431,0.525109,0.1725,0.454514,22,0.000649,False,False,False
nsl,MMLU_PRO,-0.3547,0.105335,-0.1316,0.559491,-0.1725,0.454514,22,0.000649,False,False,False
fertility_avg,MATH_Lvl5,-0.3495,0.110814,-0.2414,0.279028,-0.2822,0.215167,22,0.000649,False,False,False
cpt,MUSR,0.345,0.115853,0.2049,0.360389,0.1615,0.484322,22,0.000649,False,False,False
compression_ratio,MUSR,0.345,0.115853,0.2049,0.360389,0.1615,0.484322,22,0.000649,False,False,False
nsl,MUSR,-0.345,0.115853,-0.1967,0.380301,-0.1615,0.484322,22,0.000649,False,False,False
nsl_avg,MMLU_PRO,-0.3278,0.136355,-0.3508,0.109409,-0.1001,0.665903,22,0.000649,False,False,False
parity_avg,MMLU_PRO,-0.3244,0.140721,-0.3733,0.087084,-0.1601,0.488061,22,0.000649,False,False,False
fertility_avg,BBH,-0.3046,0.168176,-0.3393,0.122442,-0.156,0.499461,22,0.000649,False,False,False
parity_avg,BBH,-0.2784,0.20961,-0.2429,0.276112,-0.0996,0.667417,22,0.000649,False,False,False
cpt_avg,MMLU_PRO,0.2653,0.232683,0.2208,0.323409,-0.0251,0.913893,22,0.000649,False,False,False
nsl_avg,BBH,-0.2625,0.23791,-0.2331,0.296543,-0.0127,0.956568,22,0.000649,False,False,False
fertility_avg,GPQA,-0.2573,0.247775,-0.1549,0.491195,-0.1067,0.645214,22,0.000649,False,False,False
fertility,MMLU_PRO,-0.2472,0.267453,-0.1957,0.382653,-0.1947,0.39767,22,0.000649,False,False,False
fertility_avg,Average,-0.2409,0.280127,-0.279,0.208665,-0.0899,0.698348,22,0.000649,False,False,False
fertility,BBH,-0.2375,0.287196,-0.0745,0.741794,-0.1815,0.430956,22,0.000649,False,False,False
compression_ratio_avg,MMLU_PRO,0.2301,0.30289,0.245,0.271798,-0.0266,0.908718,22,0.000649,False,False,False
nsl_avg,MATH_Lvl5,-0.229,0.30521,-0.1442,0.522074,-0.1199,0.604609,22,0.000649,False,False,False
cpt,Average,0.2205,0.324048,0.0638,0.777778,0.0206,0.929237,22,0.000649,False,False,False
compression_ratio,Average,0.2205,0.324048,0.0638,0.777778,0.0206,0.929237,22,0.000649,False,False,False
nsl,Average,-0.2205,0.324048,-0.0559,0.804854,-0.0206,0.929237,22,0.000649,False,False,False
cpt,BBH,0.2165,0.333073,0.0699,0.75718,-0.0182,0.937735,22,0.000649,False,False,False
compression_ratio,BBH,0.2165,0.333073,0.0699,0.75718,-0.0182,0.937735,22,0.000649,False,False,False
nsl,BBH,-0.2165,0.333073,-0.0652,0.77299,0.0182,0.937735,22,0.000649,False,False,False
cpt,GPQA,0.2147,0.337362,0.0477,0.833102,0.0061,0.979064,22,0.000649,False,False,False
compression_ratio,GPQA,0.2147,0.337362,0.0477,0.833102,0.0061,0.979064,22,0.000649,False,False,False
nsl,GPQA,-0.2147,0.337362,-0.0461,0.838615,-0.0061,0.979064,22,0.000649,False,False,False
parity_avg,GPQA,-0.2106,0.346752,-0.0976,0.665522,-0.0279,0.904573,22,0.000649,False,False,False
cpt_avg,BBH,0.2057,0.358456,0.1375,0.541751,-0.103,0.656865,22,0.000649,False,False,False
cpt,IFEval,-0.2023,0.366512,-0.1341,0.551808,-0.2058,0.370821,22,0.000649,False,False,False
compression_ratio,IFEval,-0.2023,0.366512,-0.1341,0.551808,-0.2058,0.370821,22,0.000649,False,False,False
nsl,IFEval,0.2023,0.366512,0.1393,0.536284,0.2058,0.370821,22,0.000649,False,False,False
cpt,MATH_Lvl5,0.1978,0.377468,0.1421,0.52802,0.0963,0.67808,22,0.000649,False,False,False
compression_ratio,MATH_Lvl5,0.1978,0.377468,0.1421,0.52802,0.0963,0.67808,22,0.000649,False,False,False
nsl,MATH_Lvl5,-0.1978,0.377468,-0.1375,0.541833,-0.0963,0.67808,22,0.000649,False,False,False
fertility,Average,-0.1977,0.377745,-0.122,0.588728,-0.1332,0.564841,22,0.000649,False,False,False
cpt_avg,IFEval,-0.1977,0.377745,-0.072,0.750267,-0.2054,0.371837,22,0.000649,False,False,False
fertility,GPQA,-0.1873,0.403845,-0.0057,0.98007,-0.1189,0.607596,22,0.000649,False,False,False
nsl_avg,Average,-0.1852,0.409216,-0.1769,0.43104,0.0551,0.812416,22,0.000649,False,False,False
parity_avg,MATH_Lvl5,-0.1847,0.410546,-0.112,0.619806,-0.0927,0.68939,22,0.000649,False,False,False
nsl_avg,GPQA,-0.1828,0.415558,-0.0693,0.759236,0.0671,0.772588,22,0.000649,False,False,False
parity_avg,Average,-0.1784,0.426971,-0.1911,0.394352,0.0082,0.97197,22,0.000649,False,False,False
compression_ratio_avg,IFEval,-0.1761,0.432979,-0.0861,0.703059,-0.1787,0.438195,22,0.000649,False,False,False
compression_ratio_avg,BBH,0.175,0.436,0.1509,0.50263,-0.0972,0.675175,22,0.000649,False,False,False
fertility_avg,MUSR,-0.1665,0.459013,-0.0858,0.704143,0.0371,0.873302,22,0.000649,False,False,False
strr,MMLU_PRO,0.1564,0.487142,0.1538,0.494342,0.1642,0.47704,22,0.000649,False,False,False
fertility,MUSR,-0.1494,0.506857,-0.136,0.546107,-0.0631,0.78596,22,0.000649,False,False,False
compression_ratio_avg,MATH_Lvl5,0.137,0.543297,0.0327,0.885111,0.0202,0.9309,22,0.000649,False,False,False
cpt_avg,GPQA,0.1356,0.547412,0.0119,0.958139,-0.1618,0.483449,22,0.000649,False,False,False
strr,BBH,0.1301,0.563874,0.0546,0.809234,0.1277,0.581193,22,0.000649,False,False,False
strr_avg,BBH,0.1261,0.575923,0.0266,0.906358,0.039,0.86668,22,0.000649,False,False,False
compression_ratio_avg,GPQA,0.1219,0.588772,0.0308,0.891778,-0.1356,0.557745,22,0.000649,False,False,False
strr,GPQA,0.1196,0.595961,0.0045,0.984118,0.1111,0.631692,22,0.000649,False,False,False
strr_avg,MMLU_PRO,0.1153,0.609254,0.0531,0.814398,0.0222,0.92407,22,0.000649,False,False,False
strr_avg,MUSR,-0.1119,0.619941,-0.0762,0.736199,-0.2817,0.216076,22,0.000649,False,False,False
nsl_avg,MUSR,-0.1108,0.62352,-0.0236,0.916866,0.2089,0.363554,22,0.000649,False,False,False
strr,Average,0.0976,0.665735,0.1021,0.651183,0.0834,0.719434,22,0.000649,False,False,False
cpt_avg,Average,0.0966,0.66893,0.0728,0.747643,-0.204,0.375137,22,0.000649,False,False,False
nsl_avg,IFEval,0.0943,0.676306,0.0436,0.847175,0.0907,0.695726,22,0.000649,False,False,False
compression_ratio_avg,Average,0.0909,0.687423,0.0829,0.713768,-0.1675,0.467881,22,0.000649,False,False,False
fertility,IFEval,-0.0875,0.698603,-0.1237,0.583499,-0.093,0.688514,22,0.000649,False,False,False
fertility_avg,IFEval,0.0773,0.732499,-0.019,0.933284,0.0724,0.755249,22,0.000649,False,False,False
strr,IFEval,0.0759,0.737106,0.158,0.482438,0.0774,0.738616,22,0.000649,False,False,False
cpt_avg,MUSR,0.0665,0.768807,-0.0114,0.959958,-0.3109,0.17016,22,0.000649,False,False,False
strr,MUSR,0.0599,0.791108,0.0752,0.739373,0.0347,0.881266,22,0.000649,False,False,False
parity_avg,MUSR,-0.0563,0.803642,0.0106,0.962607,0.2133,0.353295,22,0.000649,False,False,False
fertility,MATH_Lvl5,-0.0534,0.813334,0.0312,0.890208,-0.0038,0.987018,22,0.000649,False,False,False
strr,MATH_Lvl5,-0.0519,0.818427,-0.0781,0.729799,-0.0723,0.755464,22,0.000649,False,False,False
cpt_avg,MATH_Lvl5,0.0489,0.828983,0.0116,0.959278,-0.1009,0.663571,22,0.000649,False,False,False
strr_avg,GPQA,0.0378,0.867343,-0.0664,0.769098,-0.0643,0.781737,22,0.000649,False,False,False
strr_avg,MATH_Lvl5,0.0352,0.876285,-0.1169,0.604494,-0.0131,0.955024,22,0.000649,False,False,False
strr_avg,Average,0.0341,0.880281,-0.0074,0.973891,-0.0653,0.778497,22,0.000649,False,False,False
parity_avg,IFEval,0.0307,0.892182,0.0073,0.974154,0.0231,0.920767,22,0.000649,False,False,False
strr_avg,IFEval,0.0261,0.908084,0.0249,0.912574,0.0306,0.895271,22,0.000649,False,False,False
compression_ratio_avg,MUSR,0.0233,0.91804,-0.0198,0.930374,-0.3177,0.160535,22,0.000649,False,False,False
