Tokenizer	control_tokens	pure_unicode	char_alpha	spaced_alpha	inner_alpha	char_other	spaced_other	inner_other	unicode_flanks	char_errors	spaced_errors	inner_errors
Qtok	0.85	0.04	3.27	45.95	37.68	0.7	2.0	7.28	1.17	0.15	0.16	0.74
llama-2	0.05	0.8	5.09	50.15	38.66	0.8	1.09	3.25	0.0	0.04	0.02	0.06
mistral	0.02	0.8	8.47	48.2	37.09	0.91	1.02	3.13	0.0	0.21	0.03	0.12
mixtral	2.36	0.78	8.27	47.07	36.22	0.89	0.99	3.06	0.0	0.2	0.03	0.12
pythia	0.01	0.37	1.37	54.3	33.83	0.13	2.91	5.58	0.97	0.13	0.07	0.35
yi-34b	0.3	0.4	6.57	37.35	52.43	0.17	0.54	2.21	0.0	0.02	0.0	0.01
falcon	0.01	0.26	1.84	61.26	31.65	0.09	0.08	3.14	1.45	0.03	0.03	0.16
jamba	2.36	0.39	3.13	59.5	31.6	0.45	0.61	1.79	0.0	0.06	0.02	0.07
deepseek	0.03	0.18	3.66	46.95	45.05	0.11	0.71	2.39	0.56	0.04	0.01	0.32
dbrx	0.03	0.18	1.04	42.48	28.55	0.1	1.19	22.14	0.78	0.03	0.64	2.84
llama-3	0.21	0.16	2.8	43.23	30.47	0.16	1.02	18.04	1.06	0.05	0.51	2.27
qwen	0.01	0.17	9.63	33.62	36.21	1.92	0.79	14.37	0.96	0.02	0.42	1.88
command-r	0.02	0.08	2.31	57.24	36.14	0.07	0.44	1.78	1.76	0.01	0.04	0.11
gemma	0.06	0.1	6.14	48.23	40.18	1.51	0.66	2.63	0.0	0.35	0.03	0.11
gpt2	0.0	0.3	0.39	63.87	29.53	0.1	1.96	3.06	0.7	0.07	0.0	0.0
llama31_8b	0.21	0.16	2.8	43.23	30.47	0.16	1.02	18.04	1.06	0.05	0.51	2.27
qwen25	0.02	0.17	9.62	33.61	36.21	1.92	0.79	14.37	0.96	0.02	0.42	1.88
gemma2_9b	0.06	0.1	6.14	48.23	40.18	1.51	0.66	2.63	0.0	0.35	0.03	0.11
mistral_7b_v03	2.36	0.78	8.27	47.07	36.22	0.89	0.99	3.05	0.0	0.2	0.03	0.12
mistral_nemo	0.77	0.14	2.56	55.74	30.34	0.1	0.57	7.61	1.1	0.03	0.18	0.86
phi3_mini	0.05	0.8	5.09	50.15	38.66	0.8	1.09	3.25	0.0	0.04	0.02	0.06
phi4	0.1	0.18	1.04	42.45	28.53	0.1	1.19	22.12	0.78	0.03	0.64	2.84
yi15_9b	0.3	0.4	6.57	37.35	52.43	0.17	0.54	2.21	0.0	0.02	0.0	0.01
falcon_7b	0.01	0.26	1.84	61.26	31.65	0.09	0.08	3.14	1.45	0.03	0.03	0.16
bloom_7b1	0.05	0.09	2.67	51.67	35.22	0.09	3.74	5.57	0.58	0.03	0.05	0.26
stablelm2_12b	0.04	0.18	1.04	42.48	28.55	0.1	1.19	22.14	0.78	0.03	0.64	2.84
olmo2_7b	0.03	0.18	1.04	42.48	28.55	0.1	1.19	22.14	0.78	0.03	0.64	2.84
smollm2_17b	0.04	0.32	0.47	64.41	31.6	0.08	0.56	1.56	0.64	0.05	0.02	0.25
qwen3_8b	0.03	0.17	9.62	33.61	36.21	1.92	0.79	14.37	0.96	0.02	0.42	1.88
deepseek_v3	0.64	0.17	5.18	38.79	46.59	0.24	0.52	5.91	1.15	0.03	0.17	0.6
